id;cenr;refint;num;nobor;typenr;id_atr;dem_atr;num_atr;nom_res;cpay_iso;datope;regt;nom_etr;nocli;cat_res;ceco;cpay_etg;natcpt;sens;devn;mdev;taux;mnat;etab;nom_fic;date_arrete
1;withdrawal Product;actuating transform Bedfordshire;deposit New Hampshire Salad;exuding;connecting Outdoors;Personal Loan Account Agent;2020-09-11;Tenge methodologies;target;United Arab Emirates Identity Mobility;2020-09-11;well-modulated 4th generation intranet;Garden;Incredible bluetooth;Well;maximized sky blue Kwacha;Steel Illinois Global;Centers;compressing ivory Personal Loan Account;Bedfordshire Implementation Mobility;9190;9933;89939;Turnpike human-resource;Chips Somoni;2020-09-12
2;incentivize blue Gorgeous Plastic Chips;Gloves JBOD;generate TCP Rustic;Extensions;extranet Gorgeous Plastic Table;Cayman Islands Dollar impactful alarm;2020-09-12;Personal Loan Account;index;Ameliorated Cambridgeshire;2020-09-12;Fiji Dollar IB Producer;Operations bluetooth B2B;Associate Colorado Greece;architectures compressing Visionary;purple;Regional reboot;Rustic navigating Refined;Berkshire;Riel invoice;60629;58467;17337;synthesize Motorway Steel;Kids;2020-09-12
3;Ball pink;Mouse Technician;back-end;proactive Michigan ivory;innovative;Home Loan Account;2020-09-12;Communications success;Bike interactive;circuit;2020-09-11;Rustic Fresh Pizza;explicit Malagasy Ariary Connecticut;Beauty bleeding-edge Borders;capacitor bus;Personal Loan Account 1080p;rich Cambridgeshire flexibility;Architect deposit Concrete;Practical Granite Shirt Reunion invoice;Dominican Republic Program Buckinghamshire;4606;51193;25786;Clothing Directives;Chicken virtual;2020-09-11
4;input architecture Trafficway;1080p Jewelery;generating dynamic;Sausages synergies hacking;auxiliary;Dynamic Chips mesh;2020-09-12;24/7 ADP Forward;definition Mouse;indexing Curve;2020-09-11;Buckinghamshire client-server Analyst;indigo clicks-and-mortar;Bedfordshire transmit moratorium;content-based;application object-oriented Bacon;Squares;Auto Loan Account withdrawal;Home Loan Account;input maximize;71416;10443;84637;Gloves Administrator cross-platform;Mauritius Rupee Toys;2020-09-11
5;mint green Rustic Concrete Cheese;cohesive asynchronous Kwanza;supply-chains cutting-edge circuit;empower Future;Netherlands Antilles;Mouse;2020-09-11;applications implement Credit Card Account;calculating maximized;Arkansas;2020-09-12;synthesize Wyoming;Berkshire;Handmade Plastic Bike definition;Plastic enable Credit Card Account;Uganda Toys 1080p;enable;program;circuit;generate;99858;29209;42733;Lead;Green Denar synthesize;2020-09-12
6;Soap Borders systematic;Auto Loan Account copy;input deposit Meadows;solid state lavender;Checking Account intangible orchestrate;Money Market Account Shirt redundant;2020-09-11;deliverables Agent;Gibraltar Pound overriding;invoice global;2020-09-12;Unbranded Rubber Chair ability Australian Dollar;calculate Devolved;Interactions;Home Loan Account;syndicate Grenada pixel;Direct Money Market Account Berkshire;Fields;violet;Licensed Granite Bacon Licensed migration;62583;64501;18359;cyan;clicks-and-mortar;2020-09-11
7;Shoes;Accounts;green Rustic;Views;clear-thinking Innovative;B2B Rustic Frozen Salad Dominican Peso;2020-09-12;Paradigm unleash;Health Checking Account haptic;Buckinghamshire;2020-09-12;Savings Account;withdrawal experiences Officer;Home Loan Account Berkshire;Cloned;application intuitive;Benin calculating;proactive;Sleek Plastic Computer coherent;Object-based;39280;98770;24921;Keyboard applications Accounts;navigate Functionality;2020-09-12
8;global Rial Omani;Integration;withdrawal;Plastic Steel;user-centric;Frozen;2020-09-12;web-readiness Armenian Dram;fuchsia generating strategize;Unbranded viral FTP;2020-09-12;Optimization Credit Card Account Beauty;Rustic Soft Bike Tasty Steel Bacon Kuwaiti Dinar;Cambridgeshire Squares;Steel;Credit Card Account Port Indiana;azure;intranet;Sleek Metal Gloves;Self-enabling West Virginia;75843;75341;92816;PNG Integration homogeneous;bus Up-sized copy;2020-09-12
9;back-end Principal;Arizona bypassing;challenge Metal violet;Steel transform;supply-chains benchmark;Human Technician;2020-09-11;Jamaican Dollar Chicken;stable;grey Customer;2020-09-12;Kids Incredible Solutions;TCP virtual copying;Credit Card Account microchip;SMTP;payment red;methodical;Practical Concrete Hat Officer frame;e-business;Plains Focused;53687;8506;45026;Associate;Causeway;2020-09-12
10;Garden Indian Rupee Ngultrum Meadows;gold;system Direct Dynamic;Sausages;circuit;Computers black;2020-09-12;Avon;mobile Future Automotive;Industrial Response Borders;2020-09-11;Berkshire;Argentine Peso Generic Metal Shirt mint green;CSS AGP Lead;portals;solid state Wooden;Cross-platform Consultant;content Vietnam;matrix Pre-emptive;South Carolina;92126;60465;72641;archive Markets;synthesize Egypt;2020-09-12
